player_id,season_year,passing_yards,rushing_yards,receiving_yards,interceptions,tackles,field_goals,touchdowns
64,2005,0,0,0,0,0,0,0
64,2006,0,0,0,0,0,0,0
64,2007,0,0,0,0,0,0,0
64,2008,0,0,0,0,3,0,0
64,2009,0,0,0,0,0,0,0
64,2010,0,0,0,0,1,0,0
65,2007,0,0,0,0,0,0,0
65,2008,0,0,0,0,27,0,0
65,2009,0,0,0,0,12,0,0
66,1985,0,511,459,0,0,0,4
66,1987,0,169,298,0,0,0,2
66,1988,0,76,174,0,0,0,0
66,1989,0,29,7,0,0,0,0
66,1990,0,111,146,0,0,0,1
66,1991,0,3,0,0,0,0,0
68,2017,0,0,0,0,41,0,0
69,2008,0,0,0,0,0,0,0
69,2009,0,0,0,0,0,0,0
69,2010,0,0,0,0,2,0,0
70,2014,0,0,0,0,0,0,0
70,2015,0,0,0,0,0,0,0
71,2016,0,0,122,0,0,0,1
71,2017,0,0,61,0,0,0,0
72,2012,0,13,7,0,0,0,0
74,1959,0,-13,0,0,0,0,0
74,1960,0,114,-20,0,0,0,0
74,1961,11,-2,80,0,0,0,1
74,1962,0,0,111,0,0,0,3
74,1963,0,0,93,0,0,0,0
75,2013,0,0,0,0,0,0,0
76,1971,0,0,0,0,0,0,0
76,1972,0,0,0,0,0,0,0
76,1973,0,0,0,0,0,0,0
76,1974,0,0,0,0,0,0,0
76,1975,0,0,0,0,0,0,0
76,1976,0,0,0,0,0,0,0
76,1977,0,0,0,0,0,0,0
76,1978,0,0,0,0,0,0,0
76,1979,0,0,0,0,0,0,0
76,1980,0,0,0,0,0,0,0
76,1981,0,0,0,0,0,0,0
76,1982,0,0,0,0,0,0,0
76,1983,0,0,0,0,0,0,0
76,1984,0,0,0,0,0,0,0
76,1985,0,0,0,0,0,0,0
76,1987,0,0,0,0,0,0,0
77,2001,0,0,0,0,0,0,0
77,2002,0,0,0,0,0,0,0
77,2003,0,0,0,0,0,0,0
77,2004,0,0,0,0,0,0,0
77,2005,0,0,0,0,0,0,0
77,2006,0,0,0,0,0,0,0
77,2007,0,0,0,0,0,0,0
79,2012,0,0,26,0,0,0,0
80,2011,0,0,0,0,0,0,0
80,2012,0,0,40,0,0,0,0
80,2013,0,0,0,0,1,0,0
81,1987,0,0,0,0,0,0,0
81,1988,0,0,0,0,0,0,0
81,1989,0,0,0,0,0,0,0
82,2007,0,0,0,0,0,0,0
82,2008,0,0,0,0,3,0,0
82,2009,0,0,0,0,27,0,0
82,2010,0,0,0,0,37,0,0
82,2011,0,0,0,0,28,0,0
82,2012,0,0,0,0,3,0,0
82,2013,0,0,0,0,11,0,0
83,1997,0,0,39,0,0,0,0
84,2004,0,0,0,0,0,0,0
84,2005,0,0,0,0,0,0,0
84,2006,0,0,0,0,0,0,0
84,2007,0,0,0,0,0,0,0
84,2008,0,0,0,0,33,0,0
84,2009,0,0,0,0,52,0,0
84,2010,0,0,0,0,31,0,0
84,2011,0,0,0,0,41,0,0
84,2012,0,0,0,0,62,0,0
84,2013,0,0,0,0,60,0,0
84,2014,0,0,0,0,77,0,0
84,2015,0,0,0,0,52,0,0
84,2016,0,0,0,0,62,0,0
84,2017,0,0,0,0,29,0,0
85,2012,0,0,0,0,0,0,0
85,2013,0,0,0,0,1,0,0
85,2014,0,0,0,0,1,0,0
85,2016,0,0,0,0,0,0,0
86,2017,0,0,0,0,0,0,0
88,1974,0,0,0,0,0,0,0
88,1976,0,0,0,0,0,0,0
89,2010,0,0,0,0,4,0,0
89,2011,0,0,0,0,7,0,0
89,2012,0,0,0,0,10,0,0
89,2013,0,0,0,0,26,0,0
89,2014,0,0,0,0,21,0,0
89,2015,0,0,0,0,31,0,0
91,1972,0,0,0,0,0,0,0
91,1973,0,0,0,0,0,0,0
91,1974,0,0,0,0,0,0,0
91,1975,0,0,0,0,0,0,0
91,1976,0,0,0,0,0,0,0
91,1977,0,0,0,0,0,0,0
91,1978,0,0,0,0,0,0,0
91,1979,0,0,0,0,0,0,0
91,1980,0,0,0,0,0,0,0
91,1981,0,0,0,0,0,0,0
92,1994,0,0,0,0,0,0,0
92,1995,0,0,0,0,0,0,0
